query_number,results,status,time
0,0,OK,1219
1,0,OK,286
2,0,OK,6
3,0,OK,187
4,0,OK,1035
5,0,OK,63
6,0,OK,74
7,0,OK,141
8,0,OK,510
9,0,OK,155
10,0,OK,23
11,0,OK,280
12,0,OK,6
13,0,OK,6
14,0,OK,352
15,0,OK,6
16,0,OK,5
17,,TIMEOUT(Exception),62063
18,0,OK,118
19,0,OK,647
20,0,OK,189
21,0,OK,258
22,0,OK,199
23,0,OK,72
24,0,OK,64
25,0,OK,74
26,0,OK,43
27,0,OK,1121
28,,TIMEOUT(Exception),62063
29,0,OK,148
30,0,OK,233
31,0,OK,152
32,0,OK,19
33,0,OK,46
34,0,OK,13
35,0,OK,307
36,0,OK,36
37,0,OK,160
38,0,OK,573
39,0,OK,353
40,0,OK,49
41,0,OK,218
42,0,OK,342
43,0,OK,1573
44,0,OK,242
45,0,OK,284
46,0,OK,7
47,0,OK,4218
48,0,OK,228
49,0,OK,167
50,0,OK,248
51,0,OK,46
52,,TIMEOUT(Exception),62063
53,0,OK,254
54,0,OK,1566
55,0,OK,62
56,0,OK,53
57,0,OK,146
58,0,OK,7136
59,0,OK,67
60,0,OK,32
61,0,OK,132
62,0,OK,172
63,0,OK,151
64,0,OK,77
65,,TIMEOUT(Exception),62063
66,0,OK,326
67,0,OK,546
68,0,OK,1245
69,0,OK,215
70,,TIMEOUT(Exception),62077
2018,0,OK,703
2019,0,OK,272
2020,0,OK,306
2021,0,OK,177
2022,,TIMEOUT(Exception),62063
2023,0,OK,775
2024,0,OK,759
2025,0,OK,63
2026,0,OK,1271
2027,0,OK,293
2028,,TIMEOUT(Exception),62063
2029,0,OK,33
2030,0,OK,1436
2031,0,OK,7393
2032,0,OK,110
2033,0,OK,588
2034,,TIMEOUT(Exception),62063
2035,0,OK,190
2036,0,OK,326
2037,0,OK,264
2038,,TIMEOUT(Exception),62063
2039,0,OK,604
2040,0,OK,173
2041,0,OK,587
2042,0,OK,652
2043,0,OK,15
2044,0,OK,243
2045,0,OK,26
2046,0,OK,561
2047,0,OK,7452
2048,0,OK,51
2049,0,OK,94
2050,0,OK,115
2051,0,OK,44
2052,0,OK,21
2053,0,OK,640
2054,0,OK,638
2055,0,OK,331
2056,0,OK,16
2057,0,OK,6
2058,0,OK,7811
2059,0,OK,429
2060,0,OK,15
2061,0,OK,165
2062,0,OK,16
2063,0,OK,49
2064,0,OK,5
2065,0,OK,1543
2066,0,OK,22
2067,0,OK,76
2068,0,OK,39
2069,0,OK,145
2070,0,OK,415
2071,0,OK,277
2072,0,OK,9
2073,0,OK,26
2074,,TIMEOUT(Exception),62063
2075,0,OK,184
2076,0,OK,7
2077,0,OK,283
2078,,TIMEOUT(Exception),62079
4025,0,OK,734
4026,0,OK,974
4027,0,OK,474
4028,0,OK,16
4029,0,OK,669
4030,0,OK,183
4031,0,OK,23
4032,0,OK,6
4033,0,OK,6
4034,0,OK,72
4035,0,OK,4024
4036,0,OK,158
4037,0,OK,543
4038,0,OK,111
4039,0,OK,200
4040,0,OK,22
4041,0,OK,1618
4042,,TIMEOUT(Exception),62063
4043,0,OK,561
4044,0,OK,9
4045,,TIMEOUT(Exception),62063
4046,0,OK,13
4047,0,OK,725
4048,0,OK,75
4049,0,OK,334
4050,0,OK,400
4051,0,OK,333
4052,0,OK,440
4053,0,OK,582
4054,0,OK,169
4055,0,OK,22
4056,0,OK,347
4057,0,OK,40
4058,0,OK,67
4059,0,OK,13
4060,0,OK,113
4061,0,OK,113
4062,0,OK,254
4063,0,OK,405
4064,0,OK,291
4065,,TIMEOUT(Exception),62063
4066,0,OK,2027
4067,0,OK,241
4068,0,OK,29
4069,0,OK,291
4070,0,OK,317
4071,0,OK,642
4072,0,OK,79
4073,0,OK,452
4074,0,OK,195
4075,0,OK,169
4076,0,OK,555
4077,0,OK,34
4078,0,OK,7405
4079,0,OK,274
4080,0,OK,204
4081,0,OK,7
4082,0,OK,532
4083,0,OK,289
4084,0,OK,9
4085,0,OK,9
4086,0,OK,221
4087,0,OK,6
4088,0,OK,7
4089,0,OK,13
4090,0,OK,5
4091,0,OK,47
4092,0,OK,4890
4093,0,OK,2171
4094,0,OK,116
4095,0,OK,2253
4096,0,OK,508
